"---"
"Dataset: Underlying Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"Title: trafficdeathsweekday"
"ICD-10 Codes: V01-V99 (Transport accidents)"
"Group By: Cause of death; Weekday"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information."
"---"
"Query Date: Mar 8, 2023 7:14:03 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 8, 2023 7:14:03 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#NotApplicableRates."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable."
"4. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"5. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"6. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes."
"Notes"	"Cause of death"	"Cause of death Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident"	"V04.1"	"Thursday"	"5"	140	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident"	"V04.1"	"Friday"	"6"	137	Not Applicable	Not Applicable
	"Pedestrian injured in collision with heavy transport vehicle or bus, traffic accident"	"V04.1"	"Saturday"	"7"	93	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident"	"V05.0"	"Monday"	"2"	16	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident"	"V05.0"	"Tuesday"	"3"	14	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident"	"V05.0"	"Wednesday"	"4"	12	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident"	"V05.0"	"Thursday"	"5"	15	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident"	"V05.0"	"Friday"	"6"	14	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, nontraffic accident"	"V05.0"	"Saturday"	"7"	16	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, traffic accident"	"V05.1"	"Sunday"	"1"	20	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, traffic accident"	"V05.1"	"Monday"	"2"	20	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, traffic accident"	"V05.1"	"Wednesday"	"4"	22	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, traffic accident"	"V05.1"	"Thursday"	"5"	23	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, traffic accident"	"V05.1"	"Friday"	"6"	22	Not Applicable	Not Applicable
	"Pedestrian injured in collision with railway train or railway vehicle, traffic accident"	"V05.1"	"Saturday"	"7"	18	Not Applicable	Not Applicable
	"Unspecified whether traffic or nontraffic accident"	"V05.9"	"Sunday"	"1"	224	Not Applicable	Not Applicable
	"Unspecified whether traffic or nontraffic accident"	"V05.9"	"Monday"	"2"	199	Not Applicable	Not Applicable
	"Unspecified whether traffic or nontraffic accident"	"V05.9"	"Tuesday"	"3"	189	Not Applicable	Not Applicable
	"Unspecified whether traffic or nontraffic accident"	"V05.9"	"Wednesday"	"4"	201	Not Applicable	Not Applicable
	"Unspecified whether traffic or nontraffic accident"	"V05.9"	"Thursday"	"5"	192	Not Applicable	Not Applicable
	"Unspecified whether traffic or nontraffic accident"	"V05.9"	"Friday"	"6"	217	Not Applicable	Not Applicable
	"Unspecified whether traffic or nontraffic accident"	"V05.9"	"Saturday"	"7"	242	Not Applicable	Not Applicable
	"Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"	"V09.0"	"Sunday"	"1"	116	Not Applicable	Not Applicable
	"Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"	"V09.0"	"Monday"	"2"	103	Not Applicable	Not Applicable
	"Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"	"V09.0"	"Tuesday"	"3"	106	Not Applicable	Not Applicable
	"Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"	"V09.0"	"Wednesday"	"4"	103	Not Applicable	Not Applicable
	"Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"	"V09.0"	"Thursday"	"5"	102	Not Applicable	Not Applicable
	"Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"	"V09.0"	"Friday"	"6"	111	Not Applicable	Not Applicable
	"Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles"	"V09.0"	"Saturday"	"7"	127	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified nontraffic accident"	"V09.1"	"Sunday"	"1"	20	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified nontraffic accident"	"V09.1"	"Monday"	"2"	14	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified nontraffic accident"	"V09.1"	"Tuesday"	"3"	14	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified nontraffic accident"	"V09.1"	"Wednesday"	"4"	14	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified nontraffic accident"	"V09.1"	"Thursday"	"5"	14	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified nontraffic accident"	"V09.1"	"Friday"	"6"	16	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified nontraffic accident"	"V09.1"	"Saturday"	"7"	30	Not Applicable	Not Applicable
	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	"Sunday"	"1"	2518	Not Applicable	Not Applicable
	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	"Monday"	"2"	2365	Not Applicable	Not Applicable
	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	"Tuesday"	"3"	2237	Not Applicable	Not Applicable
	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	"Wednesday"	"4"	2307	Not Applicable	Not Applicable
	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	"Thursday"	"5"	2433	Not Applicable	Not Applicable
	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	"Friday"	"6"	2721	Not Applicable	Not Applicable
	"Pedestrian injured in traffic accident involving other and unspecified motor vehicles"	"V09.2"	"Saturday"	"7"	2879	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified traffic accident"	"V09.3"	"Sunday"	"1"	10	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified traffic accident"	"V09.3"	"Monday"	"2"	16	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified traffic accident"	"V09.3"	"Thursday"	"5"	10	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified traffic accident"	"V09.3"	"Friday"	"6"	12	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified traffic accident"	"V09.3"	"Saturday"	"7"	11	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified transport accident"	"V09.9"	"Sunday"	"1"	37	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified transport accident"	"V09.9"	"Monday"	"2"	40	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified transport accident"	"V09.9"	"Tuesday"	"3"	31	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified transport accident"	"V09.9"	"Wednesday"	"4"	31	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified transport accident"	"V09.9"	"Thursday"	"5"	39	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified transport accident"	"V09.9"	"Friday"	"6"	37	Not Applicable	Not Applicable
	"Pedestrian injured in unspecified transport accident"	"V09.9"	"Saturday"	"7"	50	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V13.4"	"Sunday"	"1"	101	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V13.4"	"Monday"	"2"	87	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V13.4"	"Tuesday"	"3"	89	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V13.4"	"Wednesday"	"4"	89	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V13.4"	"Thursday"	"5"	84	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V13.4"	"Friday"	"6"	75	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V13.4"	"Saturday"	"7"	94	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident"	"V13.9"	"Sunday"	"1"	82	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident"	"V13.9"	"Monday"	"2"	80	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident"	"V13.9"	"Tuesday"	"3"	97	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident"	"V13.9"	"Wednesday"	"4"	85	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident"	"V13.9"	"Thursday"	"5"	80	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident"	"V13.9"	"Friday"	"6"	95	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with car, pick-up truck or van, unspecified pedal cyclist injured in traffic accident"	"V13.9"	"Saturday"	"7"	113	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V14.4"	"Monday"	"2"	11	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V14.4"	"Tuesday"	"3"	11	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V14.4"	"Wednesday"	"4"	12	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V14.4"	"Thursday"	"5"	12	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, driver injured in traffic accident"	"V14.4"	"Friday"	"6"	11	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in traffic accident"	"V14.9"	"Tuesday"	"3"	15	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in traffic accident"	"V14.9"	"Wednesday"	"4"	12	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in traffic accident"	"V14.9"	"Thursday"	"5"	13	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with heavy transport vehicle or bus, unspecified pedal cyclist injured in traffic accident"	"V14.9"	"Friday"	"6"	19	Not Applicable	Not Applicable
	"Pedal cyclist injured in collision with fixed or stationary object, driver injured in traffic accident"	"V17.4"	"Sunday"	"1"	10	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, driver injured in nontraffic accident"	"V18.0"	"Sunday"	"1"	11	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in nontraffic accident"	"V18.2"	"Wednesday"	"4"	11	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, driver injured in traffic accident"	"V18.4"	"Sunday"	"1"	28	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, driver injured in traffic accident"	"V18.4"	"Monday"	"2"	28	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, driver injured in traffic accident"	"V18.4"	"Tuesday"	"3"	38	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, driver injured in traffic accident"	"V18.4"	"Wednesday"	"4"	26	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, driver injured in traffic accident"	"V18.4"	"Thursday"	"5"	20	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, driver injured in traffic accident"	"V18.4"	"Friday"	"6"	29	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, driver injured in traffic accident"	"V18.4"	"Saturday"	"7"	20	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in traffic accident"	"V18.9"	"Sunday"	"1"	39	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in traffic accident"	"V18.9"	"Monday"	"2"	38	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in traffic accident"	"V18.9"	"Tuesday"	"3"	31	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in traffic accident"	"V18.9"	"Wednesday"	"4"	31	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in traffic accident"	"V18.9"	"Thursday"	"5"	32	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in traffic accident"	"V18.9"	"Friday"	"6"	31	Not Applicable	Not Applicable
	"Pedal cyclist injured in noncollision transport accident, unspecified pedal cyclist injured in traffic accident"	"V18.9"	"Saturday"	"7"	38	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.4"	"Sunday"	"1"	127	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.4"	"Monday"	"2"	142	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.4"	"Tuesday"	"3"	106	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.4"	"Wednesday"	"4"	151	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.4"	"Thursday"	"5"	132	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.4"	"Friday"	"6"	191	Not Applicable	Not Applicable
	"Driver injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.4"	"Saturday"	"7"	158	Not Applicable	Not Applicable
	"Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.6"	"Sunday"	"1"	77	Not Applicable	Not Applicable
	"Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.6"	"Monday"	"2"	67	Not Applicable	Not Applicable
	"Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.6"	"Tuesday"	"3"	85	Not Applicable	Not Applicable
	"Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.6"	"Wednesday"	"4"	75	Not Applicable	Not Applicable
	"Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.6"	"Thursday"	"5"	79	Not Applicable	Not Applicable
	"Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.6"	"Friday"	"6"	85	Not Applicable	Not Applicable
	"Unspecified pedal cyclist injured in collision with other and unspecified motor vehicles in traffic accident"	"V19.6"	"Saturday"	"7"	94	Not Applicable	Not Applicable
	"Pedal cyclist [any] injured in unspecified traffic accident"	"V19.9"	"Sunday"	"1"	97	Not Applicable	Not Applicable
	"Pedal cyclist [any] injured in unspecified traffic accident"	"V19.9"	"Monday"	"2"	110	Not Applicable	Not Applicable
	"Pedal cyclist [any] injured in unspecified traffic accident"	"V19.9"	"Tuesday"	"3"	104	Not Applicable	Not Applicable
	"Pedal cyclist [any] injured in unspecified traffic accident"	"V19.9"	"Wednesday"	"4"	105	Not Applicable	Not Applicable
	"Pedal cyclist [any] injured in unspecified traffic accident"	"V19.9"	"Thursday"	"5"	104	Not Applicable	Not Applicable
	"Pedal cyclist [any] injured in unspecified traffic accident"	"V19.9"	"Friday"	"6"	106	Not Applicable	Not Applicable
	"Pedal cyclist [any] injured in unspecified traffic accident"	"V19.9"	"Saturday"	"7"	106	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident"	"V20.4"	"Sunday"	"1"	43	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident"	"V20.4"	"Monday"	"2"	39	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident"	"V20.4"	"Tuesday"	"3"	39	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident"	"V20.4"	"Wednesday"	"4"	20	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident"	"V20.4"	"Thursday"	"5"	33	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident"	"V20.4"	"Friday"	"6"	38	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with pedestrian or animal, driver injured in traffic accident"	"V20.4"	"Saturday"	"7"	56	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with pedestrian or animal, unspecified motorcycle rider injured in traffic accident"	"V20.9"	"Sunday"	"1"	11	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident"	"V22.4"	"Sunday"	"1"	46	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident"	"V22.4"	"Monday"	"2"	16	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident"	"V22.4"	"Wednesday"	"4"	14	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident"	"V22.4"	"Thursday"	"5"	12	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident"	"V22.4"	"Friday"	"6"	20	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with two- or three-wheeled motor vehicle, driver injured in traffic accident"	"V22.4"	"Saturday"	"7"	31	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V23.4"	"Sunday"	"1"	607	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V23.4"	"Monday"	"2"	408	Not Applicable	Not Applicable
	"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident"	"V23.4"	"Tuesday"	"3"	439	Not Applicable	Not Applicable
